Actual Price,Predicted Price
83000000,77570000.0
53000000,47735833.33333334
33000000,33486666.666666664
44000000,52590000.0
92000000,84998333.33333334
27000000,32490000.0
38000000,35880000.0
85000000,77875000.0
54000000,64980000.0
23000000,33750000.0
71000000,136150000.0
85000000,100117500.0
60000000,67080000.0
40000000,25790000.0
8900000,11916000.0
29000000,38220000.0
140000000,129840000.00000001
26000000,23360714.285714284
95000000,75804238.09523809
85000000,99750000.0
67000000,117946666.66666666
280000000,110616666.66666666
84000000,113120000.0
200000000,189093333.3333333
20000000,20831166.666666668
240000000,220824571.42857143
19000000,15958000.0
100000000,97910666.66666672
53000000,61035833.33333334
60000000,62240000.0
47000000,58000000.0
8500000,8278000.0
82000000,76410000.0
23000000,28286000.0
240000000,168030000.0
56000000,42660000.0
110000000,120928333.33333334
45000000,55044333.33333333
25000000,23930000.0
28000000,35390000.0
160000000,153400000.0
27000000,22900000.0
20000000,22761428.57142857
82000000,59253333.33333333
67000000,44880000.0
54000000,55030000.0
40000000,49220000.0
24000000,27056000.0
35000000,40859000.0
30000000,32065500.0
17000000,17750000.0
70000000,63790000.0
68000000,72786666.66666666
39000000,36030000.0
9500000,27970000.0
93000000,79916277.77777776
13000000,11869000.0
140000000,97351666.66666666
61000000,68160000.0
17000000,26690000.0
86000000,86520000.0
28000000,28470000.0
36000000,49331000.0
120000000,105450000.0
22000000,39366666.666666664
66000000,60610000.0
36000000,43283333.33333334
43000000,51440000.0
32000000,85000000.0
37000000,40425000.0
54000000,43810000.0
68000000,70546666.66666667
35000000,32280000.0
52000000,48890000.0
25000000,28536000.0
44000000,28200000.0
60000000,71167666.66666666
29000000,26565000.0
71000000,76827500.00000001
17000000,22780000.0
100000000,91690000.0
24000000,24642000.0
25000000,31677000.0
37000000,29900000.0
4300000,18526000.0
38000000,37870000.0
40000000,37341781.74603175
16000000,22432333.333333336
30000000,26650000.0
62000000,70053333.33333333
58000000,50730000.0
130000000,132310000.0
32000000,27877976.190476194
57000000,105910000.0
67000000,68435000.0
39000000,57590000.0
55000000,52210000.0
100000000,98292333.3333333
76000000,86050000.0
68000000,62608333.33333334
76000000,74863000.0
31000000,28840000.0
54000000,47890000.0
39000000,50851666.66666667
23000000,24930000.0
13000000,23451000.0
46000000,37770000.0
57000000,52970000.0
32000000,17160000.0
94000000,93711666.66666669
28000000,27062500.0
37000000,37590000.0
71000000,76540000.0
50000000,51013333.33333333
18000000,17359333.333333332
45000000,38450000.0
45000000,38922333.333333336
380000000,344500000.0
22000000,17504066.666666668
30000000,29790000.0
120000000,121852900.43290047
18000000,18268000.0
54000000,52340000.0
45000000,37485000.0
42000000,44492999.99999999
120000000,85970000.0
33000000,32452000.0
140000000,113043333.33333331
34000000,43430000.0
86000000,78930000.0
57000000,50740000.0
28000000,29150000.0
66000000,71434166.66666666
48000000,43015000.0
120000000,85790000.0
13000000,15014000.0
25000000,24741666.666666664
15000000,9430600.0
57000000,46538333.33333333
120000000,139640000.0
56000000,51980000.0
32000000,32065500.0
29000000,28612976.19047619
120000000,114380476.19047621
20000000,19012000.0
53000000,42642190.47619048
22000000,23390000.0
55000000,45771666.66666667
130000000,117556666.6666667
37000000,38420000.0
23000000,23364190.47619048
59000000,61555000.0
110000000,99683333.33333334
38000000,42590000.0
87000000,83659333.33333334
38000000,36540000.0
120000000,121852900.43290047
85000000,78793571.42857143
9000000,27679666.66666667
14000000,18173000.0
73000000,67130000.0
43000000,34760000.0
51000000,59817500.0
42000000,32130000.0
56000000,63290000.0
58000000,54520000.0
170000000,142823333.33333334
78000000,127345000.0
28000000,27050000.0
39000000,38760000.0
110000000,90640000.0
65000000,63030000.0
23000000,25403666.666666664
39000000,48290000.0
54000000,52850000.0
23000000,32470000.0
65000000,64852500.0
140000000,107340000.0
63000000,73503333.33333333
12000000,15144000.0
12000000,22780000.0
48000000,56535000.0
15000000,18488333.333333332
42000000,41133928.57142857
120000000,97410000.0
83000000,87498333.33333334
37000000,43550000.0
35000000,33080000.0
58000000,71286000.0
62000000,59390000.0
29000000,27571666.66666667
8800000,25375000.0
84000000,77740000.0
78000000,126220000.00000001
75000000,53925000.0
7300000,9594000.0
3700000,7060000.0
17000000,18710000.0
36000000,50993000.0
46000000,70510000.0
31000000,35442000.0
83000000,86640833.33333334
17000000,22110000.0
